Index,Cr,Co,Cu,Fe,Mo,Mn,Ni,Ti
1,15.28,4.13,18.34,33.47,6.52,4.84,10.1,7.32
2,15.53,5.1,18.63,33.31,8.6,3.75,8.73,6.35
3,14.24,5.64,17.09,32.04,9.55,6.15,8.91,6.37
4,12.7,6.56,15.24,32.01,11.33,6.75,9.41,6.01
5,12.65,6.22,15.18,33.19,11.24,6.79,8.15,6.59
6,12.21,7.95,14.65,30.71,12.9,8.26,7.74,5.57
7,12.09,8.55,14.51,29.32,16.13,7.09,6.74,5.57
8,10.28,8.66,12.34,29.69,17.59,8.25,6.6,6.6
9,10.88,8.66,13.06,28.44,18.55,5.57,7.42,7.42
10,9.02,12.02,10.83,25.89,20.76,9.48,5.84,6.15
11,8.89,12.69,10.67,23.98,23.14,8.92,5.02,6.69
12,16.3,4.64,19.56,30.17,6.28,5.06,11.51,6.49
13,16.13,4.6,19.35,30.26,7.14,4.7,11.05,6.77
14,15.47,5.22,18.56,30.46,8.73,4.69,9.2,7.67
15,14.72,6.62,17.66,29.99,9.0,4.84,9.97,7.2
16,13.48,6.62,16.18,30.1,9.24,8.38,9.8,6.19
17,12.98,7.23,15.58,30.35,12.23,6.96,7.59,7.08
18,12.27,7.5,14.73,26.91,13.56,7.44,9.71,7.88
19,11.77,9.32,14.13,28.3,14.27,8.8,6.28,7.13
20,10.89,10.39,13.07,27.35,16.67,9.12,6.88,5.63
21,9.51,11.22,11.41,27.21,18.57,8.65,6.1,7.32
22,9.39,12.92,11.27,24.51,20.93,9.09,5.29,6.61
23,8.45,13.15,10.14,24.19,23.05,9.39,5.12,6.49
24,8.92,14.46,10.7,21.71,23.54,9.68,4.71,6.28
25,17.44,3.86,20.93,28.26,5.34,5.34,11.37,7.45
26,17.05,3.66,20.46,30.07,5.04,4.67,11.88,7.17
27,15.38,5.71,18.45,29.9,6.41,6.21,11.42,6.52
28,15.41,5.5,18.49,28.44,7.85,5.73,10.7,7.89
29,14.76,6.17,17.71,28.04,9.01,5.81,10.81,7.69
30,14.18,7.37,17.01,27.5,9.88,6.02,9.8,8.25
31,11.87,8.5,14.24,28.59,11.87,8.09,9.71,7.12
32,11.72,8.67,14.06,27.99,13.87,7.93,7.73,8.03
33,11.41,9.68,13.69,26.96,14.29,8.76,7.74,7.47
34,10.63,11.71,12.75,23.57,16.5,10.13,7.92,6.79
35,10.67,10.78,12.81,23.84,17.3,9.92,6.84,7.85
36,9.45,12.4,11.34,23.08,20.4,10.47,6.12,6.76
37,8.92,13.19,10.7,22.41,22.41,9.78,5.72,6.87
38,8.68,14.79,10.42,20.85,25.93,8.17,5.41,5.75
39,8.5,16.97,10.2,18.12,25.85,10.13,4.48,5.76
40,17.87,3.88,21.44,26.95,3.51,5.54,13.29,7.53
41,17.58,4.66,21.09,25.7,4.79,5.73,12.46,7.99
42,17.6,3.73,21.12,27.85,5.14,5.14,12.09,7.35
43,16.16,5.82,19.39,25.7,7.34,5.41,12.52,7.65
44,15.68,4.99,18.81,26.62,7.54,6.5,11.57,8.3
45,14.28,5.88,17.13,27.86,8.78,7.06,11.22,7.79
46,13.92,7.85,16.7,25.49,9.22,9.04,9.98,7.81
47,12.71,8.43,15.25,25.32,11.8,7.62,9.73,9.14
48,12.47,10.22,14.96,24.93,11.84,9.57,8.16,7.86
49,11.25,10.46,13.5,25.18,14.16,9.7,7.87,7.87
50,10.81,11.0,12.97,23.58,15.72,10.1,7.75,8.08
51,9.8,12.65,11.76,22.14,18.83,10.18,7.02,7.63
52,8.88,14.05,10.66,21.46,20.54,10.84,5.81,7.75
53,9.61,15.03,11.54,19.48,21.47,9.99,5.39,7.49
54,8.77,15.12,10.52,19.29,23.66,10.29,4.63,7.72
55,8.01,16.7,9.61,17.07,25.61,11.55,4.82,6.63
56,6.65,18.34,7.98,17.28,28.79,10.94,4.15,5.87
57,19.34,3.58,23.21,22.38,3.52,4.96,14.77,8.25
58,18.81,3.74,22.58,24.76,3.92,4.81,13.68,7.7
59,17.08,4.69,20.49,23.86,5.72,6.21,13.53,8.43
60,16.6,4.44,19.92,24.52,6.52,6.0,13.17,8.85
61,14.97,6.54,17.96,24.98,6.7,6.91,13.41,8.53
62,15.08,6.4,18.1,25.03,7.4,6.31,12.01,9.66
63,14.92,5.6,17.91,24.91,8.9,6.67,11.74,9.34
64,14.58,7.97,17.49,22.98,10.56,7.04,10.19,9.19
65,12.45,9.82,14.94,23.13,11.32,8.86,10.63,8.86
66,12.25,9.65,14.7,23.33,13.52,8.75,8.59,9.22
67,11.92,11.09,14.3,23.62,13.34,9.73,8.0,8.0
68,11.53,11.53,13.84,19.97,15.72,9.73,8.69,8.99
69,10.89,13.51,13.07,19.55,17.08,10.15,7.72,8.02
70,8.87,13.62,10.65,20.4,20.17,10.91,7.12,8.26
71,8.34,15.22,10.01,18.45,23.0,10.11,6.98,7.89
72,8.74,16.36,10.49,17.82,23.85,10.6,5.78,6.36
73,7.92,17.87,9.5,16.14,25.96,11.34,5.5,5.76
74,7.55,18.89,9.06,14.68,27.7,11.6,4.26,6.25
75,6.55,20.54,7.86,14.03,28.91,13.18,2.55,6.38
76,18.85,3.23,22.62,22.21,3.13,4.92,16.1,8.94
77,17.44,4.07,20.93,23.24,4.4,5.81,15.26,8.86
78,17.79,4.27,21.35,22.61,4.95,5.45,14.85,8.71
79,17.38,4.61,20.86,21.82,5.83,6.02,14.22,9.26
80,15.58,6.28,18.69,22.14,6.58,7.98,13.88,8.86
81,14.75,7.45,17.7,24.06,6.9,8.08,12.54,8.52
82,13.86,9.01,16.64,23.37,7.61,8.4,11.66,9.45
83,13.15,8.51,15.78,22.85,9.44,9.64,11.32,9.31
84,12.1,8.47,14.52,22.83,11.55,9.08,10.89,10.56
85,10.95,9.82,13.14,21.73,13.13,10.86,10.32,10.05
86,10.72,10.7,12.86,21.04,14.17,10.85,9.83,9.83
87,10.6,13.65,12.72,19.04,14.91,11.47,8.53,9.08
88,8.79,14.25,10.54,20.1,18.55,11.08,7.42,9.28
89,10.13,15.27,12.16,17.21,20.6,10.67,6.69,7.27
90,8.34,17.2,10.01,17.51,20.65,12.81,6.27,7.21
91,7.88,18.5,9.45,15.56,22.23,11.86,6.52,8.0
92,6.75,20.16,8.09,13.86,24.53,14.13,5.44,7.04
93,6.35,20.65,7.62,13.9,27.15,13.04,4.36,6.93
94,6.04,21.08,7.25,13.19,28.35,12.75,4.48,6.86
95,19.15,3.35,22.98,18.68,3.67,3.99,18.21,9.97
96,18.96,3.72,22.75,19.96,3.88,5.74,16.03,8.96
97,17.54,4.49,21.05,20.88,3.78,6.41,16.18,9.67
98,16.99,5.04,20.39,20.01,4.56,7.72,15.59,9.69
99,16.6,4.77,19.92,21.42,5.35,6.82,15.19,9.93
100,15.68,5.54,18.81,21.77,5.74,8.71,14.25,9.5
101,15.53,7.04,18.63,20.74,7.06,7.91,13.34,9.75
102,14.23,7.37,17.08,21.05,8.11,8.99,12.37,10.79
103,12.82,7.99,15.39,22.12,8.8,11.18,10.85,10.85
104,12.73,10.03,15.27,20.12,10.31,11.32,10.26,9.96
105,11.75,10.88,14.11,21.18,12.82,11.07,9.09,9.09
106,10.39,11.61,12.47,20.05,12.44,11.75,10.51,10.78
107,11.22,12.86,13.47,18.37,15.05,10.97,9.18,8.88
108,8.82,14.49,10.58,18.48,17.14,13.13,8.55,8.82
